PERSON_ID,COURSE_CD,COURSE_TITLE,RESPONSIBLE_ORG_UNIT,RESEARCH_ORG_UNIT,TITLE,COURSE_ATTEMPT_STATUS,FEE_CAT,COURSE_TOTAL_EFTSU,CURRENT_EFTSU,RES_EFTSU_TO_DATE,HIGH_COST_LOW_COST,RFCD_1_DESC,RFCD_1_PRCNT,SEO_1_CODE,SEO_1_DESC,SEO_1_PRCNT
100001,313AA,Master of Arts in Information Studies (Research),FCY-AAD,RA-CRG,Ms,COMPLETED,DOMESTIC,2,0,2,LOWCOST,LIBRARIANSHIP AND INFORMATION MANAGEMENT,100,700201,LIBRARY AND RELATED INFORMATION SERVICES,100
100056,325DA,Doctor of Business Administration (Singapore),FCY-BAG,RA-GRG,Mr,DISCONTIN,NON-STD,3,0.166,0.83,,,,,,
100058,325DA,Doctor of Business Administration (Singapore),FCY-BAG,RA-GRG,Mr,DISCONTIN,NON-STD,3,0.166,0.83,,,,,,
100060,325DA,Doctor of Business Administration (Singapore),FCY-BAG,RA-GRG,Mr,DISCONTIN,NON-STD,3,0.166,0.83,,,,,,
100061,325DA,Doctor of Business Administration (Singapore),FCY-BAG,RA-GRG,Mr,DISCONTIN,NON-STD,3,0.166,0.996,,,,,,
100114,920AA,Master of Arts in Government (Research),FCY-BGL,IGPA,Ms,INTERMIT,DOM-14,2,0,0.25,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
100115,323AA,Professional Doctorate in Legal Science (Research),FCY-LAW,RA-CRG,AsPr,COMPLETED,DOMESTIC,3,0.5,2.332,LOWCOST,,,,,
100116,230AA,Master of Arts in Communication (Research),FCY-AAD,RA-CRG,Mr,DISCONTIN,DOMESTIC,2,0,0,LOWCOST,,,,,
100160,497AA,Master of Human Resource Development (Research),FCY-EDU,RA-LCRA,Mrs,DISCONTIN,,2,1.332,1.332,LOWCOST,,,,,
100204,244AB,Doctor of Philosophy in Public Sector Management,FCY-BAG,RA-GRG,Mr,DISCONTIN,DOMESTIC,3,0.5,1.666,LOWCOST,,,,,
100270,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,IAE,Ms,ENROLLED,DOM-13,3,0.5,3,HIGHCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
100310,325AA,Professional Doctorate in Business Administration (Research),FCY-BGL,RA-GRG,Mr,DISCONTIN,DOMESTIC,3,0.332,1.163,LOWCOST,,,,,
100332,230AA,Master of Arts in Communication (Research),FCY-AAD,RA-CRG,Ms,DISCONTIN,DOMESTIC,2,0.5,1.248,LOWCOST,,,,,
100332,246AA,Doctor of Philosophy in Communication,FCY-AAD,RA-CRG,Ms,DISCONTIN,DOMESTIC,3,0.5,2.8,LOWCOST,,,,,
100334,230AA,Master of Arts in Communication (Research),FCY-AAD,RA-CRG,Mrs,COMPLETED,DOMESTIC,2,0,2.998,LOWCOST,HUMAN RESOURCES MANAGEMENT,100,720403,MANAGEMENT,100
100341,862AA,Professional Doctorate in Information Sciences (Research),FCY-ETM,FCY-BGL,Mr,ENROLLED,DOM-12,3,0.25,1.5,LOWCOST,INFORMATION SYSTEMS MANAGEMENT,100,700199,COMPUTER SOFTWARE AND SERVICES NOT ELSEWHERE CLASSIFIED,100
100347,244AB,Doctor of Philosophy in Public Sector Management,FCY-BAG,RA-GRG,Ms,DISCONTIN,DOMESTIC,3,1,1,LOWCOST,,,,,
100360,208AA,Doctor of Philosophy (Education),FCY-ETM,RA-LCRA,Dr,COMPLETED,DOMESTIC,3,0,4.5,LOWCOST,EDUCATION STUDIES NOT ELSEWHERE CLASSIFIED,100,740300,HIGHER EDUCATION,100
100360,481AA,Master of Education (Honours),FCY-ETM,RA-LCRA,Dr,DISCONTIN,DOMESTIC,2,0.25,0.582,LOWCOST,,,,,
100362,156AG,Master of Applied Science in Conservation of Cultural Materials(Research,FCY-AAD,RA-PHIW,Ms,COMPLETED,DOMESTIC,2,0.25,2,LOWCOST,,,,,
100438,235AA,Doctor of Philosophy (Information Sciences and Engineering),RESSERV,RA-ISER,Ms,DISCONTIN,,3,0.25,0.75,LOWCOST,,,,,
100443,208AA,Doctor of Philosophy (Education),FCY-ETM,RA-LCRA,Dr,COMPLETED,DOMESTIC,3,0.5,5,LOWCOST,ENGLISH AS A SECOND LANGUAGE,100,751005,COMMUNICATION ACROSS LANGUAGES AND CULTURES,100
100462,324AA,Professional Doctorate in Public Administration (Research),FCY-BGL,RA-GRG,Mr,DISCONTIN,DOMESTIC,3,0.5,0.832,LOWCOST,,,,,
100464,255AA,Master of Corporate Law (Research),FCY-LAW,RA-CRG,Mr,DISCONTIN,DOMESTIC,2,0.5,0.5,LOWCOST,,,,,
100476,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,RA-PHIW,Dr,COMPLETED,DOMESTIC,3,0,5,HIGHCOST,ENVIRONMENTAL IMPACT ASSESSMENT,100,760299,ENVIRONMENTAL & RESOURCE EVALUATION NOT ELSEWHERE CLAS,100
